sep=;
Device ID;LBR-0013797;;
Series No;0041
Shot No;0015

Time (s);Vel (fps);Dist (m);SNR
0.000000;995.77;0.00;-
0.005021;996.88;1.53;7.77
0.021021;993.06;6.38;13.02
0.023021;1001.37;6.99;7.18
0.025021;1015.99;7.60;9.77
0.031021;1009.91;9.45;7.53
0.033021;1005.57;10.07;7.60
0.035021;1014.68;10.68;11.15
0.051021;1003.73;15.60;7.35
0.057021;1020.06;17.45;8.86
0.069021;1032.18;21.21;8.25
0.081021;1046.08;25.01;10.63
0.091021;1044.89;28.20;9.66
0.095021;1047.25;29.47;8.45
0.103021;1051.01;32.03;8.46
0.117021;1054.38;36.52;7.46
0.119021;1057.35;37.16;9.16
0.127021;1068.65;39.76;7.61
0.131021;1067.26;41.06;9.85
0.153021;1062.32;48.20;8.41
0.157021;1055.93;49.49;9.43
0.161021;1051.98;50.78;8.42
0.169021;1048.60;53.34;8.89
0.173021;1032.89;54.61;12.81
0.179021;1037.20;56.50;7.35
0.181021;1029.13;57.13;8.66
0.185021;1018.43;58.38;9.11
0.187021;1020.46;59.00;9.76
0.189021;1005.80;59.62;8.62
