sep=;
Device ID;LBR-0013797;;
Series No;0041
Shot No;0012

Time (s);Vel (fps);Dist (m);SNR
0.000000;1162.85;0.00;-
0.017021;1142.82;5.98;26.35
0.019021;1142.11;6.67;25.93
0.021021;1137.88;7.37;25.59
0.023021;1137.36;8.06;25.59
0.025021;1133.75;8.75;25.10
0.027021;1134.77;9.45;21.89
0.029021;1130.60;10.14;21.21
0.031021;1128.46;10.83;21.63
0.033021;1127.64;11.51;22.56
0.035021;1125.82;12.20;19.65
0.037021;1121.87;12.88;20.32
0.039021;1121.29;13.57;20.63
0.041021;1121.91;14.25;21.06
0.043021;1115.07;14.93;21.04
0.045021;1112.25;15.61;16.24
0.047021;1114.29;16.29;18.57
0.049021;1116.64;16.97;13.26
0.051021;1108.88;17.65;18.56
0.053021;1108.70;18.33;17.02
0.055021;1104.43;19.00;19.39
0.057021;1103.20;19.67;17.12
0.059021;1103.00;20.35;14.21
0.061021;1095.86;21.02;15.86
0.067021;1096.92;23.02;8.99
0.069021;1097.55;23.69;11.78
0.071021;1086.10;24.36;14.43
0.075021;1082.68;25.68;13.17
0.077021;1088.19;26.34;14.04
0.079021;1080.79;27.00;10.25
0.081021;1087.03;27.66;13.40
0.083021;1077.59;28.32;15.32
0.085021;1078.13;28.98;11.82
0.087021;1087.28;29.64;12.10
0.091021;1078.48;30.96;8.06
0.095021;1072.85;32.27;11.66
0.097021;1069.15;32.92;13.69
0.099021;1073.25;33.58;9.35
0.101021;1074.55;34.23;9.06
0.107021;1076.46;36.20;7.12
0.119021;1082.14;40.14;10.04
0.127021;1077.31;42.78;9.47
0.133021;1063.19;44.73;11.68
0.135021;1048.68;45.38;14.07
0.137021;1052.12;46.02;12.45
0.143021;1054.17;47.94;9.65
0.145021;1045.31;48.58;12.87
0.153021;1046.69;51.14;9.12
0.155021;1046.46;51.77;11.50
0.161021;1041.88;53.68;12.33
0.163021;1032.93;54.32;11.75
0.165021;1034.28;54.95;7.74
0.167021;1036.06;55.58;8.79
0.169021;1035.60;56.21;9.04
0.171021;1034.22;56.84;13.13
0.173021;1018.74;57.46;7.42
