sep=;
Device ID;LBR-0013797;;
Series No;0026
Shot No;0009

Time (s);Vel (fps);Dist (m);SNR
0.000000;2861.64;0.00;-
0.007021;2836.27;6.09;22.38
0.008021;2829.68;6.95;24.06
0.009021;2828.19;7.81;21.39
0.010021;2823.70;8.68;26.26
0.011021;2820.94;9.54;22.01
0.012021;2816.07;10.40;24.27
0.013021;2815.52;11.25;27.86
0.014021;2806.01;12.11;30.87
0.015021;2811.38;12.97;25.27
0.016021;2801.57;13.82;29.70
0.017021;2804.44;14.68;21.22
0.018021;2797.53;15.53;26.57
0.019021;2794.71;16.38;24.40
0.020021;2794.87;17.23;19.62
0.021021;2783.95;18.08;29.62
0.022021;2783.38;18.93;20.89
0.023021;2788.92;19.78;11.32
0.024021;2776.82;20.63;18.09
0.025021;2774.51;21.48;20.42
0.026021;2772.00;22.32;22.52
0.027021;2768.76;23.17;22.14
0.028021;2763.79;24.01;19.76
0.029021;2765.04;24.85;12.04
0.030021;2759.30;25.69;14.81
0.031021;2758.00;26.53;11.16
0.032021;2747.13;27.37;11.77
0.033021;2747.43;28.21;15.03
0.034021;2746.07;29.05;11.02
0.035021;2744.66;29.88;7.53
0.036021;2740.01;30.72;13.72
0.037021;2737.71;31.56;11.19
0.038021;2740.06;32.39;12.87
0.050021;2740.42;42.41;8.15
