sep=;
Device ID;LBR-0013797;;
Series No;0026
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2905.38;0.00;-
0.006021;2882.35;5.31;12.08
0.007021;2878.14;6.19;18.81
0.008021;2875.49;7.06;19.89
0.009021;2876.01;7.94;8.53
0.010021;2869.30;8.82;17.10
0.011021;2866.33;9.69;13.14
0.012021;2860.70;10.56;16.32
0.013021;2859.53;11.44;22.05
0.014021;2852.46;12.31;17.99
0.015021;2845.59;13.17;24.10
0.016021;2849.61;14.04;16.72
0.017021;2842.63;14.91;16.33
0.018021;2839.66;15.78;20.60
0.019021;2839.86;16.64;13.81
0.020021;2834.20;17.51;18.47
0.021021;2825.91;18.37;21.66
0.022021;2830.24;19.23;10.40
0.023021;2821.11;20.09;17.05
0.024021;2816.37;20.95;19.64
0.025021;2811.76;21.81;15.64
0.026021;2810.41;22.67;9.34
0.028021;2799.56;24.38;7.86
0.030021;2799.23;26.08;9.88
0.031021;2787.70;26.93;12.72
0.032021;2787.49;27.78;12.80
0.033021;2788.34;28.63;11.95
