Device ID,LBR-0013797,,                                     ,,,,,,,,,,,,,
Grey Birch,Federal Black Pack 36gr,,,,,,,,,,,,,,,
Series No,41,,                                            ,,,,,,,,,,,,,
Total number of shots,26,,                                ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Units velocity,fps,,                                        ,,,,,,,,,,,,,
Units distances,m,,                                         ,,,,,,,,,,,,,
Units kinetic energy,ft-lbf,,                               ,,,,,,,,,,,,,
Units weight,grain (gr),,                                   ,,,,,,,,,,,,,
                                                             ,,,,,,,,,,,,,,,,
Stats - Average,1164.769231,fps,                                    ,,,,,,,,,,,,,
Stats - Highest,1194,fps,                                ,,,,,,,,,,,,,
Stats - Lowest,1140,fps,                                  ,,,,,,,,,,,,,
Stats - Ext. Spread,54,fps,                             ,,,,,,,,,,,,,
Stats - Std. Dev,13.99802184,fps,                                  ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Shot ID,V0,V10,V20,V30,V41,V50,Ke0,Ke10,Ke20,Ke30,Ke41,Ke50,PF10,Proj. Weight,Date,Time
1,1147,1117,1089,1069,1051,1037,105,99,94,91,88,85,40.21,36,06-07-2021,18:04:40
3,1157,1126,1103,0,0,0,106,101,97,0,0,0,40.54,36,06-07-2021,18:09:32
4,1170,1139,1110,1090,1010,0,109,103,98,94,81,0,41,36,06-07-2021,18:09:52
5,1184,1152,1122,1108,0,1108,111,106,100,98,0,98,41.47,36,06-07-2021,18:10:29
6,1155,1126,1099,1081,0,0,106,101,96,93,0,0,40.54,36,06-07-2021,18:10:39
7,1156,1126,1097,1081,1061,1052,106,101,96,93,89,88,40.54,36,06-07-2021,18:11:07
8,1140,1115,1090,1070,1070,1070,103,99,94,91,91,91,40.14,36,06-07-2021,18:12:11
9,1177,1146,1114,1093,1073,0,110,104,99,95,92,0,41.26,36,06-07-2021,18:12:41
10,1158,1127,1099,1076,1066,1044,107,101,96,92,90,87,40.57,36,06-07-2021,18:13:15
11,1160,1131,1102,1080,1080,1080,107,102,97,93,93,93,40.72,36,06-07-2021,18:13:48
12,1163,1131,1102,1078,1079,1046,108,102,97,92,92,87,40.72,36,06-07-2021,18:14:17
13,1161,1128,1100,1078,1080,1080,107,101,96,92,93,93,40.61,36,06-07-2021,18:14:56
14,1161,1129,1100,1081,1057,1044,107,101,96,93,89,87,40.64,36,06-07-2021,18:15:13
17,1160,1130,1104,1080,1083,1083,107,102,97,93,93,93,40.68,36,06-07-2021,18:16:22
18,1161,1131,1103,1081,1081,1057,107,102,97,93,93,89,40.72,36,06-07-2021,18:16:27
19,1152,1122,1096,1077,1071,1071,106,100,95,92,91,91,40.39,36,06-07-2021,18:16:50
20,1194,1162,1132,1104,1104,0,113,107,102,97,97,0,41.83,36,06-07-2021,18:16:55
21,1164,1136,1104,0,0,0,108,103,97,0,0,0,40.9,36,06-07-2021,18:17:36
22,1160,1128,1099,1074,1062,1062,107,101,96,92,90,90,40.61,36,06-07-2021,18:17:42
23,1164,1135,1106,1079,1058,1051,108,102,97,93,89,88,40.86,36,06-07-2021,18:17:51
24,1161,1128,1102,1080,1068,1049,107,101,96,93,91,87,40.61,36,06-07-2021,18:18:12
25,1158,1126,1099,1078,0,1052,107,101,96,92,0,88,40.54,36,06-07-2021,18:18:15
26,1153,1125,1102,1078,0,1078,106,101,96,92,0,92,40.5,36,06-07-2021,18:18:19
27,1190,1157,1127,1101,1074,1074,113,106,101,96,92,92,41.65,36,06-07-2021,18:18:47
28,1190,1156,1123,1091,1069,1067,113,106,100,95,91,90,41.62,36,06-07-2021,18:19:04
29,1188,1155,1123,1123,1123,0,112,106,100,100,100,0,41.58,36,06-07-2021,18:19:11
