sep=;
Device ID;LBR-0013797;;
Series No;0015
Shot No;0025

Time (s);Vel (fps);Dist (m);SNR
0.000000;696.08;0.00;-
0.003021;698.09;0.64;32.05
0.031021;688.21;6.56;20.27
0.033021;698.61;6.98;20.73
0.035021;705.62;7.41;31.33
0.037021;708.98;7.84;22.43
0.039021;706.59;8.27;21.12
0.041021;708.02;8.70;18.04
0.043021;707.48;9.13;17.29
0.045021;705.23;9.56;21.68
0.047021;706.48;9.99;26.94
0.049021;705.78;10.42;28.60
0.051021;707.21;10.86;28.17
0.053021;707.02;11.29;30.88
0.055021;706.27;11.72;32.06
0.057021;705.79;12.15;31.23
0.059021;705.89;12.58;31.78
0.061021;705.34;13.01;30.07
0.063021;705.38;13.44;29.18
0.065021;702.78;13.87;24.65
0.067021;704.66;14.30;26.25
0.069021;704.92;14.73;23.12
0.071021;707.21;15.16;21.89
0.073021;703.79;15.59;17.95
0.075021;703.75;16.02;22.06
0.077021;705.97;16.44;17.39
0.079021;701.62;16.87;19.62
0.081021;700.26;17.30;21.32
0.083021;709.32;17.73;13.58
0.085021;699.41;18.16;15.51
0.087021;703.43;18.59;17.51
0.091021;700.65;19.44;16.72
0.093021;706.56;19.87;16.59
0.095021;715.21;20.31;10.76
0.097021;700.88;20.74;13.15
0.099021;699.75;21.16;10.04
0.101021;687.30;21.59;9.81
0.103021;700.10;22.01;10.67
0.107021;695.73;22.86;11.70
0.109021;694.24;23.28;13.04
0.111021;689.34;23.71;9.74
0.113021;696.21;24.13;13.15
0.117021;700.20;24.98;15.94
0.119021;694.10;25.41;15.72
0.121021;696.74;25.83;10.40
0.123021;700.58;26.25;9.96
0.125021;694.04;26.68;21.15
0.131021;701.57;27.96;12.30
0.135021;687.69;28.80;8.27
0.137021;695.39;29.22;10.75
0.143021;695.72;30.50;8.86
0.147021;689.62;31.34;10.60
0.157021;692.69;33.45;10.07
0.163021;689.80;34.71;10.87
0.165021;698.71;35.14;8.32
0.177021;686.72;37.67;7.73
0.187021;673.65;39.74;10.70
0.191021;668.80;40.56;10.32
0.201021;653.31;42.58;8.50
0.217021;645.03;45.74;9.63
0.223021;660.71;46.94;10.04
0.233021;676.31;48.97;8.46
0.251021;670.42;52.67;8.27
0.261021;667.32;54.71;8.59
0.263021;678.43;55.12;8.87
0.271021;680.18;56.77;9.54
0.275021;694.30;57.61;7.67
