sep=;
Device ID;LBR-0013797;;
Series No;0015
Shot No;0021

Time (s);Vel (fps);Dist (m);SNR
0.000000;634.17;0.00;-
0.009021;632.83;1.75;7.82
0.031021;648.95;6.05;14.33
0.033021;654.74;6.45;24.14
0.035021;661.04;6.85;12.54
0.039021;660.61;7.65;11.23
0.041021;659.17;8.06;9.33
0.043021;661.24;8.46;13.97
0.045021;661.48;8.86;21.70
0.047021;661.17;9.26;24.58
0.049021;661.66;9.67;19.72
0.051021;661.28;10.07;26.33
0.053021;661.20;10.47;27.34
0.055021;661.31;10.88;26.27
0.057021;660.94;11.28;28.11
0.059021;661.33;11.68;27.52
0.061021;660.57;12.09;28.57
0.063021;660.00;12.49;27.21
0.065021;661.21;12.89;25.22
0.067021;658.24;13.29;25.70
0.069021;660.94;13.69;22.74
0.071021;658.14;14.10;28.46
0.073021;658.91;14.50;27.54
0.075021;660.33;14.90;26.69
0.077021;656.66;15.30;29.57
0.079021;659.55;15.70;21.96
0.081021;656.66;16.10;28.94
0.083021;658.54;16.51;26.88
0.085021;658.77;16.91;24.04
0.087021;656.35;17.31;25.28
0.089021;656.52;17.71;26.60
0.091021;656.45;18.11;25.97
0.093021;656.23;18.51;22.29
0.095021;656.97;18.91;24.03
0.097021;653.03;19.31;24.35
0.099021;657.35;19.71;22.08
0.101021;655.31;20.11;25.77
0.103021;656.46;20.51;18.29
0.105021;654.42;20.91;20.11
0.107021;656.00;21.31;21.06
0.109021;654.70;21.71;23.18
0.111021;653.97;22.10;18.46
0.113021;654.60;22.50;18.03
0.115021;652.96;22.90;20.55
0.117021;653.74;23.30;19.51
0.121021;658.79;24.10;12.31
0.123021;648.65;24.50;14.79
0.125021;650.31;24.89;16.01
0.127021;651.38;25.29;17.16
0.129021;659.71;25.69;7.36
0.155021;668.30;30.95;9.28
0.161021;673.08;32.18;7.70
0.167021;687.67;33.42;13.41
0.175021;685.51;35.10;7.70
0.179021;670.34;35.92;11.49
0.187021;659.87;37.55;9.21
0.197021;653.44;39.55;9.24
0.201021;642.39;40.34;7.98
0.203021;647.17;40.73;12.86
0.209021;634.68;41.90;8.78
0.211021;639.54;42.29;9.00
0.213021;633.80;42.68;9.30
0.223021;643.68;44.63;8.28
0.227021;631.55;45.40;12.14
0.231021;641.69;46.18;8.94
0.241021;647.58;48.14;9.26
0.243021;638.75;48.54;9.91
0.245021;639.16;48.93;10.70
0.247021;637.85;49.32;7.29
0.263021;648.27;52.45;11.71
0.271021;640.46;54.02;10.04
0.277021;634.96;55.19;10.66
0.281021;627.82;55.96;7.68
