sep=;
Device ID;LBR-0013797;;
Series No;0015
Shot No;0023

Time (s);Vel (fps);Dist (m);SNR
0.000000;669.77;0.00;-
0.003021;673.25;0.62;34.83
0.031021;659.02;6.30;23.22
0.033021;670.89;6.71;21.14
0.035021;679.44;7.12;31.90
0.037021;679.39;7.53;30.68
0.039021;673.41;7.95;13.27
0.041021;684.25;8.36;15.06
0.043021;678.98;8.77;16.70
0.045021;677.84;9.19;12.07
0.047021;670.61;9.60;11.45
0.049021;676.75;10.01;7.06
0.051021;675.78;10.42;12.15
0.053021;676.21;10.83;19.03
0.055021;674.05;11.25;23.88
0.057021;677.50;11.66;21.88
0.059021;676.73;12.07;25.53
0.061021;680.41;12.48;23.01
0.063021;677.54;12.90;24.00
0.065021;679.93;13.31;15.76
0.067021;679.11;13.73;18.70
0.069021;676.94;14.14;14.36
0.071021;678.87;14.55;14.29
0.073021;678.29;14.97;16.66
0.075021;672.73;15.38;14.64
0.079021;676.05;16.20;16.00
0.081021;677.96;16.61;18.44
0.085021;672.31;17.44;14.44
0.087021;675.27;17.85;13.98
0.089021;689.90;18.26;10.77
0.091021;676.23;18.68;12.25
0.093021;675.54;19.09;13.69
0.095021;683.85;19.51;9.62
0.097021;686.51;19.92;12.83
0.099021;681.30;20.34;12.60
0.101021;677.29;20.75;11.50
0.103021;674.33;21.17;12.38
0.105021;673.63;21.58;15.07
0.109021;667.14;22.39;11.23
0.111021;678.80;22.81;14.07
0.113021;672.47;23.22;12.11
0.115021;666.18;23.63;10.23
0.117021;663.66;24.03;11.63
0.121021;668.47;24.84;11.28
0.123021;683.72;25.25;7.99
0.125021;673.76;25.67;13.87
0.127021;670.94;26.08;18.21
0.129021;670.93;26.49;23.00
0.133021;677.95;27.31;12.02
0.145021;673.26;29.78;10.82
0.147021;663.23;30.19;7.24
0.165021;659.72;33.82;7.36
0.177021;671.57;36.25;10.49
0.187021;681.16;38.31;8.44
0.191021;688.20;39.15;11.68
0.195021;679.73;39.98;9.49
0.199021;685.36;40.81;8.66
0.205021;680.04;42.06;8.90
0.215021;675.22;44.13;7.23
0.231021;690.25;47.46;9.34
0.237021;675.19;48.71;8.26
0.261021;669.23;53.62;12.32
0.263021;656.61;54.03;10.20
0.265021;659.03;54.43;9.31
0.281021;643.60;57.60;10.18
0.291021;635.20;59.55;12.57
