sep=;
Device ID;LBR-0013797;;
Series No;0006
Shot No;0007

Time (s);Vel (fps);Dist (m);SNR
0.000000;1127.61;0.00;-
0.015021;1113.22;5.12;32.38
0.017021;1110.97;5.80;30.60
0.019021;1109.42;6.48;30.43
0.021021;1107.10;7.15;30.27
0.023021;1104.92;7.83;29.43
0.025021;1103.23;8.50;28.46
0.027021;1101.79;9.17;26.93
0.029021;1100.21;9.84;26.33
0.031021;1099.08;10.51;26.43
0.033021;1097.25;11.18;25.01
0.035021;1095.25;11.85;25.46
0.037021;1094.57;12.52;23.25
0.039021;1092.27;13.18;24.09
0.041021;1088.95;13.85;20.15
0.043021;1089.99;14.51;22.29
0.045021;1088.28;15.18;18.07
0.047021;1086.39;15.84;19.90
0.049021;1084.78;16.50;21.81
0.051021;1084.80;17.16;20.60
0.053021;1083.16;17.82;17.98
0.055021;1082.53;18.48;16.81
0.057021;1077.94;19.14;20.27
0.059021;1078.87;19.80;15.39
0.061021;1078.39;20.46;15.88
0.063021;1078.80;21.11;15.68
0.065021;1073.85;21.77;16.79
0.067021;1074.79;22.43;17.79
0.069021;1075.71;23.08;16.59
0.071021;1071.36;23.74;12.54
0.073021;1071.77;24.39;14.84
0.075021;1067.82;25.04;15.06
0.077021;1066.46;25.69;13.49
0.079021;1068.98;26.34;15.02
0.085021;1063.26;28.29;13.02
0.091021;1048.79;30.22;10.50
0.093021;1064.19;30.87;13.51
0.095021;1052.93;31.51;15.35
0.097021;1057.69;32.16;14.08
0.099021;1058.48;32.80;8.05
0.101021;1054.27;33.45;11.16
0.103021;1058.16;34.09;10.73
0.109021;1057.17;36.02;11.49
0.111021;1047.34;36.66;14.37
0.113021;1045.14;37.30;7.46
0.115021;1037.14;37.94;11.27
0.117021;1050.66;38.57;12.96
0.119021;1045.39;39.21;12.36
0.123021;1035.31;40.48;12.63
0.125021;1033.89;41.11;14.31
0.127021;1035.46;41.74;9.06
0.139021;1027.23;45.51;7.32
0.151021;1036.77;49.29;7.48
0.153021;1021.12;49.92;11.52
0.157021;1011.90;51.16;11.04
0.159021;1026.60;51.78;9.56
0.163021;1025.05;53.03;12.43
0.165021;1009.40;53.65;7.62
0.167021;1000.60;54.26;8.15
0.173021;1016.20;56.10;11.66
0.177021;1019.40;57.35;7.88
