sep=;
Device ID;LBR-0013797;;
Series No;0037
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;844.25;0.00;-
0.023021;817.81;5.70;8.95
0.025021;820.44;6.20;8.80
0.027021;833.30;6.71;9.31
0.029021;828.03;7.21;10.38
0.039021;835.98;9.75;7.79
0.053021;839.95;13.32;7.39
0.063021;834.47;15.88;7.45
0.065021;818.82;16.38;8.88
0.067021;806.16;16.88;7.41
0.073021;796.66;18.34;7.40
0.085021;798.34;21.26;12.06
0.093021;787.56;23.19;9.22
0.097021;773.31;24.14;7.24
0.111021;758.15;27.41;10.79
0.123021;760.77;30.19;10.03
0.127021;764.12;31.12;7.31
0.149021;775.93;36.28;12.51
0.163021;770.68;39.58;8.30
0.167021;770.69;40.52;10.38
0.175021;768.48;42.40;9.52
0.191021;766.51;46.14;10.70
0.195021;762.91;47.07;9.67
0.197021;753.14;47.54;10.41
0.201021;768.97;48.46;10.52
0.211021;766.82;50.80;10.61
0.213021;763.59;51.27;9.22
0.223021;777.82;53.62;9.01
0.227021;785.02;54.57;9.05
0.229021;779.66;55.05;8.99
0.231021;788.03;55.53;9.31
0.235021;795.17;56.49;7.90
