sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0006

Time (s);Vel (fps);Dist (m);SNR
0.000000;638.28;0.00;-
0.031021;630.64;5.95;37.51
0.033021;631.12;6.33;32.99
0.035021;629.69;6.72;27.69
