sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0015

Time (s);Vel (fps);Dist (m);SNR
0.000000;696.17;0.00;-
0.029021;663.11;5.86;35.99
0.031021;664.31;6.27;30.15
0.033021;658.70;6.67;22.65
