sep=;
Device ID;LBR-0013797;;
Series No;0013
Shot No;0007

Time (s);Vel (fps);Dist (m);SNR
0.000000;1316.77;0.00;-
0.015021;1288.87;5.95;41.82
0.017021;1285.83;6.74;39.53
0.019021;1283.72;7.52;38.19
0.021021;1278.75;8.30;40.02
0.023021;1274.99;9.08;41.39
0.025021;1271.02;9.86;40.22
0.027021;1267.63;10.63;37.68
0.029021;1263.38;11.40;33.26
0.031021;1259.71;12.17;29.77
0.033021;1257.66;12.94;33.06
0.035021;1254.33;13.70;34.58
0.037021;1251.14;14.47;34.06
0.039021;1248.23;15.23;34.05
0.041021;1244.86;15.99;33.19
0.043021;1241.57;16.75;30.26
0.045021;1237.78;17.50;29.02
0.047021;1235.31;18.26;28.28
0.049021;1231.57;19.01;26.99
0.051021;1228.69;19.76;27.01
0.053021;1224.62;20.51;28.74
0.055021;1222.58;21.25;29.52
0.057021;1219.03;22.00;28.80
0.059021;1215.86;22.74;30.41
0.061021;1212.76;23.48;30.48
0.063021;1209.58;24.22;29.80
0.065021;1206.22;24.95;30.57
0.067021;1202.60;25.69;29.64
0.069021;1200.60;26.42;29.22
0.071021;1197.34;27.15;30.16
0.073021;1194.68;27.88;30.87
0.075021;1192.13;28.61;29.61
0.077021;1188.75;29.33;29.81
0.079021;1186.09;30.06;30.52
0.081021;1183.38;30.78;29.36
0.083021;1180.11;31.50;28.72
0.085021;1177.31;32.22;29.44
0.087021;1174.77;32.94;28.82
0.089021;1171.65;33.65;28.31
0.091021;1169.00;34.36;28.10
0.093021;1165.86;35.08;28.82
0.095021;1163.84;35.79;29.03
0.097021;1161.29;36.49;27.22
0.099021;1157.73;37.20;27.55
0.101021;1155.18;37.91;28.83
0.103021;1153.43;38.61;27.86
0.105021;1149.45;39.31;27.08
0.107021;1147.12;40.01;27.60
0.109021;1144.16;40.71;27.43
0.111021;1142.73;41.41;27.01
0.113021;1139.09;42.10;26.29
0.115021;1137.03;42.80;26.43
0.117021;1133.53;43.49;25.94
0.119021;1131.50;44.18;25.65
0.121021;1129.37;44.87;25.35
0.123021;1127.25;45.56;25.38
0.125021;1123.62;46.24;24.29
0.127021;1120.46;46.93;23.56
0.129021;1119.33;47.61;23.64
0.131021;1116.39;48.29;22.24
0.133021;1113.36;48.97;22.70
0.135021;1112.03;49.65;22.70
0.137021;1113.59;50.33;16.42
0.159021;1128.17;57.84;8.39
