sep=;
Device ID;LBR-0013797;;
Series No;0039
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;847.47;0.00;-
0.019021;823.25;4.78;12.30
0.025021;817.01;6.28;10.15
0.033021;805.87;8.26;10.28
0.037021;817.27;9.25;10.73
0.043021;814.55;10.74;12.32
0.055021;799.12;13.69;10.31
0.061021;807.84;15.16;7.28
0.065021;808.09;16.15;9.98
0.069021;796.09;17.13;9.41
0.071021;805.16;17.61;12.45
0.073021;812.00;18.11;8.79
0.075021;798.45;18.60;7.74
0.087021;786.15;21.50;9.35
0.099021;789.38;24.38;8.08
0.113021;805.08;27.78;7.86
0.119021;801.69;29.25;7.94
0.121021;796.26;29.74;11.33
0.125021;787.02;30.70;9.69
0.129021;795.59;31.67;8.59
0.147021;798.09;36.04;8.19
0.155021;790.25;37.97;7.80
0.157021;784.61;38.45;10.41
0.181021;768.69;44.14;10.84
0.183021;759.97;44.60;7.92
0.189021;766.10;46.00;7.74
0.195021;758.07;47.39;8.25
0.197021;772.85;47.86;9.03
0.201021;776.35;48.80;11.77
0.205021;766.29;49.74;7.26
0.209021;780.95;50.69;8.25
0.215021;777.65;52.11;8.20
0.235021;769.73;56.83;8.52
0.237021;758.61;57.29;8.39
