sep=;
Device ID;LBR-0013797;;
Series No;0008
Shot No;0010

Time (s);Vel (fps);Dist (m);SNR
0.000000;1154.40;0.00;-
0.017021;1135.09;5.93;41.01
0.019021;1132.80;6.62;40.23
0.021021;1130.56;7.31;38.46
0.023021;1128.64;8.00;39.00
0.025021;1125.99;8.68;39.30
0.027021;1123.79;9.37;38.05
0.029021;1121.49;10.05;37.50
0.031021;1119.48;10.74;36.19
0.033021;1117.16;11.42;36.98
0.035021;1114.85;12.10;35.84
0.037021;1112.03;12.78;35.84
0.039021;1110.87;13.46;33.65
0.041021;1108.20;14.13;34.47
0.043021;1107.14;14.81;33.04
0.045021;1104.44;15.48;34.57
0.047021;1103.01;16.15;33.54
0.049021;1100.99;16.83;30.13
0.051021;1100.11;17.50;29.52
0.053021;1097.64;18.17;32.00
0.055021;1096.23;18.84;31.58
0.057021;1094.16;19.50;28.55
0.059021;1093.18;20.17;29.38
0.061021;1091.46;20.84;29.94
0.063021;1090.16;21.50;28.43
0.065021;1088.61;22.16;29.03
0.067021;1087.27;22.83;26.97
0.069021;1085.70;23.49;27.99
0.071021;1084.41;24.15;26.98
0.073021;1083.55;24.81;25.72
0.075021;1081.20;25.47;25.98
0.077021;1078.95;26.13;25.04
0.079021;1079.60;26.79;24.46
0.081021;1077.33;27.45;25.41
0.083021;1077.11;28.10;25.72
0.085021;1076.05;28.76;25.56
0.087021;1072.82;29.41;24.02
0.089021;1071.04;30.07;24.42
0.091021;1071.97;30.72;24.86
0.093021;1069.52;31.37;23.01
0.095021;1067.04;32.02;21.80
0.097021;1066.97;32.68;21.42
0.099021;1065.01;33.33;22.67
0.101021;1063.31;33.97;22.13
0.103021;1061.85;34.62;22.56
0.105021;1061.62;35.27;23.16
0.107021;1058.95;35.92;23.04
0.109021;1057.85;36.56;23.49
0.111021;1056.18;37.20;22.39
0.113021;1055.15;37.85;19.71
0.115021;1055.16;38.49;20.38
0.117021;1056.44;39.14;20.70
0.119021;1056.07;39.78;18.67
0.121021;1054.39;40.42;17.96
0.123021;1045.16;41.06;15.34
0.125021;1051.49;41.70;15.49
0.127021;1053.36;42.34;17.48
0.129021;1043.16;42.98;15.90
0.131021;1044.15;43.62;15.23
0.133021;1045.52;44.25;10.70
0.135021;1045.01;44.89;14.82
0.137021;1044.69;45.53;17.32
0.139021;1042.58;46.17;20.70
0.141021;1039.38;46.80;19.52
0.143021;1040.56;47.43;19.48
0.145021;1036.51;48.07;18.72
0.147021;1036.05;48.70;20.21
0.149021;1036.58;49.33;18.83
0.151021;1037.77;49.96;17.81
0.153021;1033.70;50.59;19.39
0.155021;1033.90;51.22;18.45
0.157021;1031.95;51.85;18.10
0.159021;1037.20;52.48;13.63
0.161021;1030.51;53.11;16.40
0.163021;1029.91;53.74;16.17
0.165021;1027.41;54.37;14.84
0.167021;1029.02;55.00;8.51
0.169021;1024.20;55.62;11.27
0.173021;1023.24;56.87;8.69
0.177021;1022.56;58.12;12.55
0.179021;1010.57;58.74;11.49
0.183021;1013.24;59.97;11.88
