sep=;
Device ID;LBR-0013797;;
Series No;0008
Shot No;0008

Time (s);Vel (fps);Dist (m);SNR
0.000000;1206.82;0.00;-
0.013021;1189.17;4.75;40.59
0.015021;1186.48;5.48;41.02
0.017021;1183.96;6.20;40.57
0.019021;1181.57;6.92;39.09
0.021021;1178.27;7.64;39.12
0.023021;1175.57;8.36;39.21
0.025021;1173.17;9.07;38.42
0.027021;1170.52;9.79;37.01
0.029021;1167.88;10.50;36.98
0.031021;1165.12;11.21;37.09
0.033021;1163.54;11.92;35.88
0.035021;1160.02;12.63;35.19
0.037021;1158.06;13.33;34.72
0.039021;1154.71;14.04;35.77
0.041021;1151.94;14.74;33.97
0.043021;1151.00;15.44;31.56
0.045021;1147.01;16.14;32.94
0.047021;1144.23;16.84;34.00
0.049021;1142.78;17.54;32.06
0.051021;1139.18;18.24;30.82
0.053021;1137.86;18.93;32.59
0.055021;1134.71;19.62;32.05
0.057021;1132.50;20.31;30.42
0.059021;1129.19;21.00;29.37
0.061021;1126.46;21.69;29.45
0.063021;1125.58;22.38;28.56
0.065021;1123.33;23.06;28.69
0.067021;1120.23;23.75;28.24
0.069021;1118.16;24.43;28.19
0.071021;1115.64;25.11;27.87
0.073021;1113.05;25.79;27.07
0.075021;1110.84;26.47;27.11
0.077021;1108.20;27.14;26.12
0.079021;1106.16;27.82;27.58
0.081021;1104.81;28.49;27.49
0.083021;1102.13;29.16;26.05
0.085021;1102.45;29.84;24.38
0.087021;1099.33;30.51;22.93
0.089021;1098.40;31.18;21.97
0.091021;1095.71;31.85;22.82
0.093021;1093.06;32.51;24.96
0.095021;1092.75;33.18;25.35
0.097021;1091.00;33.84;26.05
0.099021;1088.77;34.51;22.60
0.101021;1087.29;35.17;24.73
0.103021;1086.96;35.83;21.47
0.105021;1085.34;36.50;20.68
0.107021;1084.89;37.16;19.36
0.109021;1082.66;37.82;20.87
0.111021;1080.73;38.48;18.26
0.113021;1080.21;39.14;18.35
0.115021;1076.65;39.79;16.21
0.117021;1076.64;40.45;21.08
0.119021;1075.76;41.11;19.00
0.121021;1072.41;41.76;19.36
0.123021;1071.06;42.42;19.43
0.125021;1071.06;43.07;21.84
0.127021;1069.14;43.72;21.05
0.129021;1069.06;44.37;22.98
0.131021;1065.75;45.02;22.61
0.133021;1064.24;45.67;21.84
0.135021;1064.37;46.32;22.33
0.137021;1062.94;46.97;20.03
0.139021;1059.92;47.62;21.15
0.141021;1057.28;48.26;18.19
0.143021;1055.72;48.91;20.51
0.145021;1053.49;49.55;17.53
0.147021;1054.76;50.19;19.80
0.149021;1057.62;50.83;16.02
0.151021;1053.28;51.48;16.27
0.153021;1053.75;52.12;12.82
0.157021;1044.18;53.40;10.68
0.159021;1048.79;54.04;8.97
0.161021;1043.93;54.68;7.93
0.163021;1054.76;55.31;10.92
0.173021;1044.34;58.51;11.66
