sep=;
Device ID;LBR-0013797;;
Series No;0023
Shot No;0007

Time (s);Vel (fps);Dist (m);SNR
0.000000;2388.44;0.00;-
0.008021;2371.61;5.81;25.37
0.009021;2368.22;6.53;31.05
0.010021;2367.42;7.25;32.76
0.011021;2363.42;7.97;33.32
0.012021;2363.20;8.69;28.25
0.013021;2362.31;9.41;32.05
0.014021;2360.44;10.13;31.11
0.015021;2358.05;10.85;27.87
0.016021;2347.55;11.57;37.18
0.017021;2353.54;12.28;27.81
0.018021;2354.75;13.00;25.61
0.019021;2348.01;13.72;31.13
0.020021;2352.72;14.43;23.86
0.021021;2345.52;15.15;28.94
0.022021;2348.83;15.87;21.76
0.023021;2342.56;16.58;27.71
0.024021;2337.53;17.29;27.49
0.025021;2344.03;18.01;18.85
0.026021;2341.16;18.72;24.47
0.027021;2333.12;19.43;28.59
0.028021;2330.88;20.15;27.07
0.029021;2330.77;20.86;19.07
0.030021;2337.25;21.57;14.30
0.031021;2328.06;22.28;25.78
0.032021;2330.67;22.99;21.50
0.033021;2326.25;23.70;17.11
0.034021;2329.44;24.41;17.87
0.035021;2323.09;25.12;16.91
0.036021;2322.19;25.82;19.63
0.037021;2320.79;26.53;20.47
0.038021;2318.60;27.24;18.59
0.039021;2318.70;27.95;18.67
0.040021;2315.19;28.65;18.35
0.041021;2313.21;29.36;19.37
0.042021;2311.62;30.06;17.26
0.043021;2307.12;30.77;16.19
0.044021;2308.13;31.47;16.24
0.045021;2309.73;32.17;14.39
0.046021;2306.56;32.88;14.98
0.047021;2301.46;33.58;12.86
0.048021;2299.29;34.28;10.56
0.049021;2301.39;34.98;10.89
0.050021;2298.08;35.68;18.12
0.051021;2294.69;36.38;11.22
0.052021;2297.45;37.08;10.78
0.053021;2291.06;37.78;11.09
0.055021;2287.26;39.18;9.24
0.056021;2287.92;39.87;9.26
0.057021;2285.44;40.57;15.25
0.058021;2282.49;41.27;16.83
0.059021;2281.45;41.96;16.11
0.060021;2279.54;42.66;8.29
0.061021;2283.13;43.35;11.02
0.062021;2280.38;44.05;13.13
0.063021;2271.14;44.74;10.34
0.064021;2283.72;45.44;10.58
0.065021;2274.82;46.13;9.17
0.066021;2280.19;46.83;10.21
0.067021;2267.26;47.52;9.93
0.070021;2267.03;49.59;10.25
0.071021;2268.60;50.28;9.93
0.075021;2256.29;53.04;13.17
0.076021;2251.41;53.73;10.94
0.077021;2251.54;54.41;13.11
0.078021;2251.98;55.10;14.31
0.079021;2251.24;55.79;10.29
0.081021;2248.11;57.16;7.95
0.082021;2239.07;57.84;7.83
