sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0009

Time (s);Vel (fps);Dist (m);SNR
0.000000;610.42;0.00;-
0.029021;617.42;5.44;39.15
0.031021;617.20;5.81;39.46
0.033021;617.61;6.19;35.25
0.035021;618.00;6.57;31.90
0.047021;627.06;8.84;11.01
0.053021;628.79;9.99;8.67
0.063021;630.46;11.91;11.68
0.065021;618.68;12.29;10.37
0.069021;616.52;13.04;10.96
0.089021;617.76;16.81;9.20
0.093021;633.20;17.57;7.87
0.119021;649.11;22.65;8.79
0.141021;657.95;27.03;10.83
0.145021;648.60;27.83;9.88
0.157021;661.23;30.22;8.14
0.161021;645.68;31.02;10.27
0.167021;637.89;32.19;8.24
0.175021;644.60;33.76;9.21
0.177021;638.53;34.15;10.76
0.181021;627.17;34.92;11.58
0.185021;617.11;35.68;7.23
0.187021;630.90;36.06;8.51
0.189021;637.94;36.45;10.64
0.195021;646.79;37.62;7.05
0.203021;637.88;39.19;10.51
0.227021;646.05;43.88;9.80
0.235021;631.32;45.44;7.96
0.239021;623.88;46.21;8.71
0.249021;619.33;48.10;10.71
0.261021;629.06;50.38;9.65
0.267021;619.57;51.53;9.36
0.275021;623.41;53.04;7.99
0.293021;615.44;56.44;11.21
0.297021;600.48;57.18;7.19
0.299021;602.43;57.55;7.98
