sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0007

Time (s);Vel (fps);Dist (m);SNR
0.000000;702.31;0.00;-
0.029021;670.19;5.91;37.56
0.031021;670.96;6.31;31.82
0.033021;665.89;6.72;22.32
