sep=;
Device ID;LBR-0013797;;
Series No;0010
Shot No;0012

Time (s);Vel (fps);Dist (m);SNR
0.000000;577.36;0.00;-
0.031021;638.35;5.99;37.61
0.033021;638.61;6.38;33.85
0.035021;646.06;6.77;21.73
