sep=;
Device ID;LBR-0013797;;
Series No;0017
Shot No;0005

Time (s);Vel (fps);Dist (m);SNR
0.000000;2439.87;0.00;-
0.008021;2428.43;5.94;34.81
0.009021;2430.33;6.68;31.27
0.010021;2426.47;7.42;39.41
0.011021;2424.80;8.16;37.54
0.012021;2424.27;8.90;37.18
0.013021;2423.32;9.64;35.72
0.014021;2421.78;10.38;35.88
0.015021;2420.50;11.12;34.31
0.016021;2420.00;11.85;33.00
0.017021;2418.74;12.59;32.31
0.018021;2417.37;13.33;30.78
0.019021;2416.05;14.06;29.90
0.020021;2415.33;14.80;28.95
0.021021;2414.38;15.54;28.35
0.022021;2412.12;16.27;26.94
0.023021;2411.19;17.01;27.75
0.024021;2411.83;17.74;26.75
0.025021;2409.15;18.48;26.89
0.026021;2408.73;19.21;24.88
0.027021;2406.91;19.95;23.43
0.028021;2405.86;20.68;22.73
0.029021;2404.37;21.41;21.94
0.030021;2402.81;22.14;22.85
0.031021;2402.76;22.88;22.34
0.032021;2402.60;23.61;20.96
0.033021;2400.48;24.34;19.67
0.034021;2399.32;25.07;20.09
0.035021;2396.47;25.80;21.43
0.036021;2396.91;26.53;19.50
0.037021;2393.75;27.26;17.81
0.038021;2394.04;27.99;16.66
0.039021;2395.27;28.72;17.90
0.040021;2391.44;29.45;18.40
0.041021;2391.09;30.18;19.14
0.042021;2388.53;30.91;19.55
0.043021;2389.77;31.64;17.41
0.044021;2390.32;32.37;14.34
0.045021;2388.08;33.10;15.94
0.046021;2383.61;33.82;14.17
0.047021;2384.72;34.55;17.15
0.048021;2382.08;35.28;13.25
0.049021;2380.96;36.00;16.41
0.050021;2376.95;36.73;12.15
0.051021;2382.41;37.45;10.76
0.052021;2376.64;38.18;15.23
0.053021;2377.38;38.90;14.43
0.055021;2382.64;40.35;11.02
0.056021;2371.27;41.08;12.12
0.057021;2372.08;41.80;7.22
0.058021;2368.68;42.52;12.49
0.059021;2369.12;43.24;11.49
0.060021;2366.92;43.97;11.92
0.062021;2367.07;45.41;11.65
0.063021;2362.84;46.13;9.64
0.064021;2363.13;46.85;10.16
0.065021;2362.57;47.57;9.21
0.066021;2354.35;48.29;8.44
0.067021;2368.67;49.01;11.71
0.070021;2354.01;51.17;7.33
0.071021;2341.03;51.88;8.08
0.073021;2346.05;53.31;9.10
