sep=;
Device ID;LBR-0013797;;
Series No;0025
Shot No;0007

Time (s);Vel (fps);Dist (m);SNR
0.000000;3080.17;0.00;-
0.006021;3056.45;5.62;18.64
0.007021;3054.08;6.55;21.70
0.008021;3046.49;7.48;14.33
0.009021;3044.85;8.41;18.09
0.010021;3044.06;9.34;16.67
0.011021;3039.49;10.27;18.63
0.012021;3037.00;11.19;15.35
0.013021;3027.21;12.12;21.03
0.014021;3027.40;13.04;12.33
0.015021;3020.58;13.96;18.96
0.016021;3019.52;14.88;15.66
0.017021;3014.72;15.80;14.78
0.018021;3011.00;16.72;7.75
0.019021;3006.26;17.64;12.33
0.020021;2999.34;18.55;18.96
0.021021;3000.76;19.47;13.79
0.023021;2991.73;21.29;12.13
0.024021;2988.51;22.21;15.48
0.025021;2984.49;23.12;13.38
0.026021;2979.77;24.02;13.31
0.027021;2975.67;24.93;8.45
0.029021;2969.33;26.74;8.96
0.030021;2968.87;27.65;11.46
0.031021;2958.01;28.55;12.56
0.032021;2960.14;29.45;8.98
0.034021;2951.13;31.26;11.41
0.035021;2948.69;32.16;13.84
0.036021;2944.95;33.05;9.55
0.038021;2933.84;34.85;13.25
0.039021;2933.66;35.74;14.41
0.040021;2928.30;36.63;8.02
0.041021;2924.33;37.53;10.56
0.043021;2918.15;39.31;9.76
0.044021;2909.90;40.19;13.33
0.045021;2911.96;41.08;14.84
0.046021;2909.35;41.97;14.89
0.049021;2903.66;44.63;9.39
