sep=;
Device ID;LBR-0013797;;
Series No;0015
Shot No;0010

Time (s);Vel (fps);Dist (m);SNR
0.000000;715.40;0.00;-
0.027021;709.64;5.82;33.91
0.029021;709.60;6.25;33.21
0.031021;696.00;6.68;23.43
0.033021;700.29;7.11;20.51
0.035021;709.73;7.54;12.19
0.037021;704.86;7.97;10.68
0.039021;696.19;8.40;23.94
0.041021;703.95;8.82;22.60
0.043021;699.54;9.25;24.59
0.045021;697.08;9.68;17.88
0.047021;700.34;10.10;12.23
0.049021;701.42;10.53;12.50
0.051021;698.44;10.96;13.43
0.053021;700.48;11.38;16.76
0.055021;698.85;11.81;21.53
0.057021;699.55;12.23;22.57
0.059021;700.07;12.66;22.38
0.061021;700.83;13.09;21.66
0.063021;700.36;13.52;19.80
0.065021;698.70;13.94;20.86
0.067021;696.65;14.37;19.33
0.069021;697.73;14.79;18.50
0.071021;698.75;15.22;20.95
0.073021;698.54;15.64;24.93
0.075021;698.33;16.07;24.15
0.077021;697.34;16.50;24.71
0.079021;697.40;16.92;19.08
0.081021;697.24;17.35;21.46
0.083021;695.69;17.77;24.15
0.085021;697.41;18.19;16.22
0.087021;695.57;18.62;21.51
0.089021;699.39;19.04;22.08
0.091021;695.93;19.47;16.10
0.093021;696.88;19.89;17.82
0.095021;695.14;20.32;17.99
0.097021;699.43;20.74;14.09
0.099021;695.60;21.17;17.98
0.101021;696.23;21.59;20.47
0.103021;691.77;22.02;17.44
0.105021;704.89;22.44;11.08
0.107021;691.53;22.87;17.61
0.109021;695.03;23.29;11.14
0.111021;687.73;23.71;16.00
0.115021;692.56;24.55;11.47
0.117021;693.79;24.98;13.82
0.119021;690.20;25.40;11.60
0.121021;698.92;25.82;12.26
0.127021;696.25;27.10;11.66
0.133021;682.16;28.36;9.25
0.149021;684.90;31.69;8.76
0.161021;678.68;34.18;10.06
0.165021;669.36;35.01;9.88
0.169021;669.72;35.82;7.63
0.171021;658.43;36.23;8.97
0.175021;652.19;37.03;12.66
0.193021;646.38;40.59;11.97
0.201021;645.74;42.16;9.09
0.221021;632.26;46.06;7.69
0.231021;638.46;48.00;9.88
0.241021;635.28;49.94;10.27
0.243021;646.15;50.33;7.43
0.247021;639.84;51.11;14.67
0.249021;656.02;51.51;8.98
0.251021;653.94;51.91;7.07
0.263021;663.92;54.32;8.35
0.265021;661.30;54.72;7.55
0.271021;672.03;55.94;8.19
0.275021;660.11;56.75;9.41
0.279021;645.48;57.55;8.70
0.281021;631.11;57.94;8.76
0.289021;621.49;59.46;10.75
