sep=;
Device ID;LBR-0013797;;
Series No;0027
Shot No;0003

Time (s);Vel (fps);Dist (m);SNR
0.000000;2341.50;0.00;-
0.008021;2328.52;5.71;37.11
0.009021;2327.85;6.42;36.00
0.010021;2325.04;7.13;35.12
0.011021;2322.17;7.83;37.03
0.012021;2324.59;8.54;32.49
0.013021;2317.25;9.25;37.36
0.014021;2320.61;9.96;32.42
0.015021;2318.18;10.66;33.21
0.016021;2312.11;11.37;36.85
0.017021;2319.17;12.07;28.60
0.018021;2310.37;12.78;34.20
0.019021;2310.69;13.48;32.70
0.020021;2309.39;14.19;30.09
0.021021;2308.16;14.89;31.50
0.022021;2309.02;15.60;29.32
0.023021;2305.95;16.30;30.62
0.024021;2306.45;17.00;29.16
0.025021;2302.07;17.70;29.65
0.026021;2303.80;18.41;27.25
0.027021;2299.50;19.11;31.03
0.028021;2299.80;19.81;27.04
0.029021;2297.28;20.51;25.95
0.030021;2300.51;21.21;23.49
0.031021;2294.36;21.91;27.27
0.032021;2291.90;22.61;30.34
0.033021;2290.58;23.31;28.56
0.034021;2292.62;24.01;23.44
0.035021;2290.79;24.70;20.75
0.036021;2290.94;25.40;19.31
0.037021;2287.03;26.10;23.61
0.038021;2283.89;26.80;27.30
0.039021;2282.34;27.49;29.75
0.040021;2281.22;28.19;30.19
0.041021;2280.65;28.88;26.65
0.042021;2280.19;29.58;21.31
0.043021;2281.52;30.27;18.15
0.044021;2279.56;30.97;18.04
0.045021;2276.03;31.66;18.23
0.046021;2271.96;32.36;14.50
0.047021;2272.66;33.05;13.82
0.048021;2270.53;33.74;17.07
0.049021;2268.48;34.43;21.50
0.050021;2268.68;35.12;24.35
0.051021;2267.66;35.82;23.54
0.052021;2264.17;36.51;23.86
0.053021;2264.50;37.20;24.09
0.054021;2262.10;37.89;24.54
0.055021;2262.63;38.58;23.51
0.056021;2259.21;39.27;23.61
0.057021;2258.46;39.95;22.75
0.058021;2255.95;40.64;23.03
0.059021;2254.80;41.33;20.71
0.060021;2256.34;42.02;19.72
0.061021;2251.25;42.70;17.42
0.062021;2253.54;43.39;16.95
0.063021;2248.13;44.08;17.77
0.064021;2249.12;44.76;13.37
0.065021;2242.92;45.45;12.30
0.067021;2241.24;46.81;8.77
0.068021;2249.44;47.50;12.00
0.071021;2238.07;49.55;10.95
0.072021;2240.24;50.23;7.55
0.073021;2234.77;50.91;7.30
0.076021;2220.12;52.95;8.77
0.077021;2229.90;53.63;10.43
0.078021;2226.09;54.31;17.71
0.079021;2227.15;54.99;14.20
0.080021;2232.57;55.67;13.23
0.081021;2226.09;56.35;15.34
0.082021;2222.64;57.02;18.20
0.083021;2221.93;57.70;15.53
0.084021;2222.15;58.38;16.88
0.085021;2217.93;59.05;18.76
0.086021;2219.52;59.73;20.22
