sep=;
Device ID;LBR-0013797;;
Series No;0025
Shot No;0014

Time (s);Vel (fps);Dist (m);SNR
0.000000;3031.43;0.00;-
0.006021;3008.81;5.53;20.55
0.007021;3007.82;6.45;21.32
0.008021;3000.17;7.37;22.70
0.009021;3000.02;8.28;21.77
0.010021;2997.52;9.20;20.37
0.011021;2995.61;10.11;21.58
0.012021;2986.61;11.02;18.75
0.013021;2980.04;11.93;23.51
0.014021;2982.66;12.84;17.11
0.015021;2973.55;13.75;23.49
0.016021;2976.34;14.65;18.54
0.017021;2971.41;15.56;16.64
0.018021;2965.16;16.46;18.47
0.019021;2958.70;17.37;12.32
0.020021;2955.69;18.27;23.45
0.021021;2957.96;19.17;16.61
0.023021;2952.05;20.97;15.49
0.024021;2945.66;21.87;15.57
0.025021;2943.86;22.77;15.10
0.026021;2939.29;23.66;13.81
0.027021;2936.19;24.56;11.89
0.028021;2930.41;25.45;7.31
0.031021;2914.32;28.13;8.71
0.032021;2921.90;29.01;10.24
0.033021;2916.94;29.90;12.30
0.034021;2906.73;30.79;10.60
0.035021;2908.02;31.68;9.31
0.036021;2905.04;32.56;7.86
0.038021;2893.91;34.33;12.90
0.039021;2893.32;35.21;11.34
0.040021;2890.25;36.10;8.31
0.043021;2874.64;38.73;10.40
0.044021;2881.95;39.61;7.25
0.045021;2871.19;40.49;7.30
0.046021;2875.59;41.36;10.27
0.047021;2880.89;42.24;8.60
0.048021;2872.96;43.11;7.75
0.049021;2884.34;43.99;9.02
