sep=;
Device ID;LBR-0013797;;
Series No;0012
Shot No;0006

Time (s);Vel (fps);Dist (m);SNR
0.000000;1097.44;0.00;-
0.017021;1083.77;5.64;42.51
0.019021;1082.61;6.30;40.51
0.021021;1082.41;6.96;38.41
0.023021;1081.90;7.62;36.44
0.025021;1078.77;8.28;39.13
0.027021;1077.37;8.93;40.12
0.029021;1076.50;9.59;38.47
0.031021;1074.60;10.25;37.62
0.033021;1072.67;10.90;31.92
0.035021;1070.57;11.55;25.81
0.037021;1071.21;12.21;30.40
0.039021;1070.76;12.86;32.20
0.041021;1069.04;13.51;32.62
0.043021;1068.66;14.16;32.62
0.045021;1067.46;14.81;31.78
0.047021;1066.85;15.46;31.33
0.049021;1065.60;16.11;28.49
0.051021;1064.57;16.76;27.10
0.053021;1065.00;17.41;26.91
0.055021;1062.03;18.06;27.02
0.057021;1061.20;18.71;29.43
0.059021;1059.36;19.35;27.92
0.061021;1058.58;20.00;30.02
0.063021;1057.92;20.65;31.16
0.065021;1056.42;21.29;31.78
0.067021;1055.90;21.93;32.63
0.069021;1054.36;22.58;31.97
0.071021;1053.51;23.22;32.72
0.073021;1052.62;23.86;31.31
0.075021;1050.99;24.50;31.08
0.077021;1050.15;25.14;31.47
0.079021;1049.59;25.78;31.57
0.081021;1048.08;26.42;31.99
0.083021;1047.28;27.06;32.24
0.085021;1046.17;27.70;32.15
0.087021;1044.67;28.34;31.72
0.089021;1043.97;28.97;31.62
0.091021;1042.85;29.61;31.79
0.093021;1041.94;30.24;30.33
0.095021;1040.87;30.88;29.76
0.097021;1039.03;31.51;30.22
0.099021;1038.44;32.15;30.51
0.101021;1037.85;32.78;30.29
0.103021;1036.51;33.41;30.14
0.105021;1035.68;34.04;30.07
0.107021;1034.35;34.67;29.32
0.109021;1033.55;35.30;29.12
0.111021;1033.13;35.93;28.15
0.113021;1032.26;36.56;27.89
0.115021;1029.87;37.19;27.18
0.117021;1029.72;37.82;26.44
0.119021;1028.34;38.45;27.17
0.121021;1027.15;39.07;27.95
0.123021;1027.62;39.70;27.61
0.125021;1025.51;40.33;27.26
0.127021;1024.60;40.95;25.95
0.129021;1022.73;41.57;26.22
0.131021;1021.89;42.20;26.33
0.133021;1021.84;42.82;25.64
0.135021;1020.52;43.44;24.89
0.137021;1018.96;44.07;25.98
0.139021;1017.58;44.69;25.28
0.141021;1017.65;45.31;24.33
0.143021;1016.49;45.93;23.81
0.145021;1014.90;46.55;24.79
0.147021;1015.23;47.16;23.22
0.149021;1013.04;47.78;23.70
0.151021;1012.48;48.40;21.88
0.153021;1011.23;49.02;22.21
0.155021;1011.42;49.63;23.01
0.157021;1007.33;50.25;22.25
0.159021;1013.71;50.86;9.54
0.165021;1021.17;52.73;8.15
0.171021;1005.27;54.58;8.95
0.173021;1020.74;55.20;7.76
0.185021;1035.23;58.96;7.44
