sep=;
Device ID;LBR-0013797;;
Series No;0005
Shot No;0010

Time (s);Vel (fps);Dist (m);SNR
0.000000;1064.64;0.00;-
0.015021;1056.33;4.85;35.32
0.017021;1054.96;5.49;35.61
0.019021;1053.91;6.13;36.25
0.021021;1052.51;6.78;36.40
0.023021;1051.51;7.42;36.17
0.025021;1050.54;8.06;36.41
0.027021;1049.52;8.70;36.12
0.029021;1048.37;9.34;37.27
0.031021;1047.38;9.98;36.86
0.033021;1046.15;10.62;36.46
0.035021;1044.98;11.25;36.92
0.037021;1043.88;11.89;35.81
0.039021;1042.60;12.53;35.20
0.041021;1041.88;13.16;35.06
0.043021;1040.77;13.80;34.19
0.045021;1039.40;14.43;34.65
0.047021;1038.67;15.06;34.44
0.049021;1037.95;15.70;34.83
0.051021;1036.52;16.33;34.24
0.053021;1035.03;16.96;34.27
0.055021;1034.08;17.59;33.07
0.057021;1033.45;18.22;32.53
0.059021;1031.93;18.85;32.37
0.061021;1031.62;19.48;32.09
0.063021;1030.20;20.11;31.66
0.065021;1029.30;20.74;31.49
0.067021;1028.09;21.36;32.03
0.069021;1027.09;21.99;31.91
0.071021;1025.48;22.61;31.62
0.073021;1025.64;23.24;31.62
0.075021;1024.11;23.86;30.92
0.077021;1023.63;24.49;30.56
0.079021;1021.54;25.11;31.73
0.081021;1021.03;25.73;29.76
0.083021;1021.11;26.36;28.25
0.085021;1022.05;26.98;28.70
0.087021;1018.35;27.60;30.65
0.089021;1016.34;28.22;31.59
0.091021;1017.26;28.84;30.09
0.093021;1017.98;29.46;28.34
0.095021;1014.91;30.08;30.47
0.097021;1014.48;30.70;29.93
0.099021;1014.00;31.32;28.84
0.101021;1013.35;31.94;28.36
0.103021;1011.82;32.55;27.60
0.105021;1012.17;33.17;26.54
0.107021;1011.62;33.79;26.85
0.109021;1009.19;34.40;29.39
0.111021;1010.22;35.02;26.18
0.113021;1008.73;35.63;27.79
0.115021;1007.79;36.25;28.63
0.117021;1008.62;36.86;24.63
0.119021;1006.21;37.48;27.53
0.121021;1006.10;38.09;26.83
0.123021;1004.09;38.70;25.98
0.125021;1003.96;39.32;25.88
0.127021;1004.68;39.93;26.53
0.129021;1001.93;40.54;25.06
0.131021;1004.36;41.15;23.55
0.133021;1001.75;41.76;24.65
0.135021;999.46;42.37;24.92
0.137021;1001.15;42.98;21.06
0.139021;998.53;43.59;23.81
0.141021;997.89;44.20;22.81
0.143021;996.85;44.81;24.88
0.145021;999.16;45.42;20.28
0.147021;998.26;46.03;23.05
0.149021;995.76;46.63;23.19
0.151021;996.44;47.24;20.05
0.153021;997.90;47.85;20.45
0.155021;992.74;48.45;27.18
0.157021;994.89;49.06;18.83
0.159021;988.98;49.67;16.29
0.173021;1004.13;53.92;8.19
0.175021;1014.14;54.53;10.70
