sep=;
Device ID;LBR-0013797;;
Series No;0031
Shot No;0004

Time (s);Vel (fps);Dist (m);SNR
0.000000;3107.55;0.00;-
0.006021;3081.78;5.67;24.94
0.007021;3079.02;6.61;28.07
0.008021;3077.22;7.55;30.00
0.009021;3072.79;8.49;24.30
0.010021;3067.21;9.42;27.08
0.011021;3061.59;10.35;25.05
0.012021;3057.93;11.29;12.88
0.013021;3055.49;12.22;27.80
0.014021;3044.85;13.15;29.67
0.015021;3045.43;14.08;16.81
0.016021;3046.78;15.01;18.55
0.017021;3040.05;15.93;17.63
0.018021;3038.50;16.86;9.98
0.019021;3030.81;17.78;18.93
0.020021;3035.41;18.71;10.30
0.021021;3027.05;19.63;13.97
0.022021;3023.61;20.56;12.22
0.023021;3020.86;21.48;14.49
0.024021;3012.92;22.40;10.85
