sep=;
Device ID;LBR-0013797;;
Series No;0031
Shot No;0002

Time (s);Vel (fps);Dist (m);SNR
0.000000;3135.14;0.00;-
0.006021;3113.10;5.73;30.92
0.007021;3108.26;6.67;30.65
0.008021;3108.05;7.62;33.09
0.009021;3104.25;8.57;29.22
0.010021;3098.06;9.51;27.34
0.011021;3092.23;10.46;30.06
0.012021;3091.06;11.40;17.62
0.013021;3088.23;12.34;30.92
0.014021;3083.70;13.28;30.57
0.015021;3078.80;14.22;30.65
0.016021;3079.88;15.16;26.79
0.017021;3070.49;16.10;28.87
0.018021;3077.57;17.03;23.20
0.019021;3061.71;17.97;28.50
0.020021;3064.95;18.90;25.01
0.021021;3057.09;19.84;26.90
0.022021;3056.27;20.77;26.14
0.023021;3051.76;21.70;25.47
0.024021;3047.92;22.63;24.45
0.025021;3042.03;23.56;23.01
0.026021;3040.19;24.48;21.05
0.027021;3035.24;25.41;21.73
0.028021;3035.06;26.33;18.03
0.029021;3025.23;27.26;24.25
0.030021;3026.19;28.18;19.45
0.031021;3023.39;29.10;12.32
0.032021;3021.54;30.02;12.89
0.033021;3015.02;30.94;15.74
0.034021;3008.63;31.86;21.61
0.035021;3003.38;32.78;19.30
0.036021;3001.47;33.69;13.35
0.037021;3004.93;34.61;11.93
0.038021;2996.67;35.52;10.01
0.039021;2988.41;36.43;10.78
0.040021;2984.67;37.34;7.12
0.041021;2981.61;38.25;12.13
0.042021;2981.76;39.16;11.56
0.043021;2977.04;40.07;15.36
0.044021;2973.40;40.98;13.83
0.045021;2970.50;41.88;13.39
0.046021;2963.57;42.79;14.27
0.047021;2963.96;43.69;13.83
0.048021;2963.26;44.59;7.00
0.049021;2951.03;45.50;12.79
