sep=;
Device ID;LBR-0013797;;
Series No;0036
Shot No;0013

Time (s);Vel (fps);Dist (m);SNR
0.000000;693.39;0.00;-
0.023021;689.49;4.89;9.38
0.029021;690.17;6.15;10.61
0.035021;702.99;7.42;9.35
0.053021;689.41;11.24;8.71
0.061021;691.53;12.93;11.50
0.069021;684.99;14.61;7.13
0.077021;687.25;16.28;8.79
0.081021;694.78;17.12;7.99
0.083021;709.94;17.55;9.23
0.093021;719.82;19.73;10.23
0.109021;725.11;23.25;8.17
0.113021;739.86;24.14;11.83
0.121021;726.51;25.93;9.78
0.125021;740.81;26.83;9.03
0.127021;731.81;27.28;10.18
0.133021;719.37;28.60;8.42
0.143021;711.51;30.78;11.17
0.145021;707.13;31.22;10.17
0.157021;704.82;33.80;10.74
0.159021;701.75;34.23;11.89
0.161021;687.61;34.65;8.61
0.163021;683.32;35.07;10.08
0.171021;691.70;36.74;8.42
0.177021;692.59;38.01;8.00
0.187021;694.80;40.12;9.05
0.193021;681.84;41.38;11.54
0.199021;685.60;42.63;9.16
0.205021;676.39;43.88;8.09
0.215021;675.73;45.94;10.87
0.219021;677.22;46.76;8.14
0.225021;662.19;47.99;8.75
0.229021;664.54;48.80;7.56
0.231021;669.23;49.20;12.22
0.235021;675.88;50.02;12.69
0.241021;685.77;51.27;7.83
0.247021;675.18;52.51;7.39
0.249021;667.06;52.92;12.63
0.261021;671.92;55.37;13.12
0.269021;683.88;57.02;9.64
0.271021;674.83;57.44;8.11
0.279021;678.60;59.09;11.31
0.283021;677.89;59.92;9.45
